group,key,estimate,title,key_order
Asian Indian,Extremely important,0.335367574445499,Labor Issue Importance: Retirement,2
Chinese,Extremely important,0.5235147955805615,Labor Issue Importance: Retirement,7
Filipino,Extremely important,0.4259224364974326,Labor Issue Importance: Retirement,5
Japanese,Extremely important,0.23972375593672204,Labor Issue Importance: Retirement,1
Korean,Extremely important,0.3779630054196287,Labor Issue Importance: Retirement,3
Vietnamese,Extremely important,0.4601806507065535,Labor Issue Importance: Retirement,6
ASIAN AM,Extremely important,0.42144926232926494,Labor Issue Importance: Retirement,4
Asian Indian,Very important,0.515014301191634,Labor Issue Importance: Retirement,2
Chinese,Very important,0.2933194393293897,Labor Issue Importance: Retirement,7
Filipino,Very important,0.4509853473764092,Labor Issue Importance: Retirement,5
Japanese,Very important,0.6936520196801831,Labor Issue Importance: Retirement,1
Korean,Very important,0.3781029036158397,Labor Issue Importance: Retirement,3
Vietnamese,Very important,0.37867572110776676,Labor Issue Importance: Retirement,6
ASIAN AM,Very important,0.41963711870611686,Labor Issue Importance: Retirement,4
Asian Indian,Somewhat important,0.12344501765872926,Labor Issue Importance: Retirement,2
Chinese,Somewhat important,0.15151854121485211,Labor Issue Importance: Retirement,7
Filipino,Somewhat important,0.06702380169013754,Labor Issue Importance: Retirement,5
Japanese,Somewhat important,0.03970272146447601,Labor Issue Importance: Retirement,1
Korean,Somewhat important,0.19720147439660304,Labor Issue Importance: Retirement,3
Vietnamese,Somewhat important,0.11146321533017572,Labor Issue Importance: Retirement,6
ASIAN AM,Somewhat important,0.11905351480849256,Labor Issue Importance: Retirement,4
Asian Indian,Not that important,0.014659662378274202,Labor Issue Importance: Retirement,2
Chinese,Not that important,0.007096439758786083,Labor Issue Importance: Retirement,7
Filipino,Not that important,0.036079754115848746,Labor Issue Importance: Retirement,5
Japanese,Not that important,2.1724891406962153e-4,Labor Issue Importance: Retirement,1
Korean,Not that important,0.009984630140071489,Labor Issue Importance: Retirement,3
Vietnamese,Not that important,0.010421726713736045,Labor Issue Importance: Retirement,6
ASIAN AM,Not that important,0.015506925256281223,Labor Issue Importance: Retirement,4
Asian Indian,Don't Know,0.011513444325863542,Labor Issue Importance: Retirement,2
Chinese,Don't Know,0.024550784116410748,Labor Issue Importance: Retirement,7
Filipino,Don't Know,0.019988660320171773,Labor Issue Importance: Retirement,5
Japanese,Don't Know,0.026704254004549247,Labor Issue Importance: Retirement,1
Korean,Don't Know,0.03674798642785703,Labor Issue Importance: Retirement,3
Vietnamese,Don't Know,0.03925868614176789,Labor Issue Importance: Retirement,6
ASIAN AM,Don't Know,0.02435317889984439,Labor Issue Importance: Retirement,4
